variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
kd-lora,cola,bert,123,mrlora,mrlora,1,eval_matthews_correlation,0.4181278600904661,0.868658,15.519,301.031424,301.031424,1723.8589440000003,1723.858944,1653.007,12.952,869194241409024.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_123/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,cola,bert,123,olora,olora,1,eval_matthews_correlation,0.4467807407096838,0.739586,9.0109,297.639936,297.639936,1071.644672,1071.644672,2846.87,22.306,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_123/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,cola,bert,123,rslora,rslora,1,eval_matthews_correlation,0.46654885649873884,0.739586,8.9545,298.622976,298.622976,1075.838976,1075.838976,2864.828,22.447,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_123/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,cola,bert,2024,adalora,adalora,1,eval_matthews_correlation,0.14061887120564578,0.813458,10.5732,300.418048,300.418048,1098.907648,1098.907648,2426.225,19.01,868103755923456.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_2024/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,cola,bert,2024,dora,dora,1,eval_matthews_correlation,0.429931898675694,0.748802,12.1255,297.787392,297.787392,1243.611136,1243.611136,2115.621,16.577,866825936044032.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_2024/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,cola,bert,2024,lora,lora,1,eval_matthews_correlation,0.429931898675694,0.739586,9.8228,297.639936,297.639936,1073.741824,1073.741824,2611.585,20.463,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,bert,2024,mrlora,mrlora,1,eval_matthews_correlation,0.44985503774934166,0.868658,15.9083,301.031424,301.031424,1723.8589440000003,1723.858944,1612.555,12.635,869194241409024.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_2024/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,cola,bert,2024,olora,olora,1,eval_matthews_correlation,0.4611135992268045,0.739586,9.6906,297.639936,297.639936,1071.644672,1071.644672,2647.213,20.742,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_2024/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,cola,bert,2024,rslora,rslora,1,eval_matthews_correlation,0.44123089969348334,0.739586,9.2893,299.409408,299.409408,1075.838976,1075.838976,2761.57,21.638,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_2024/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,cola,bert,42,adalora,adalora,1,eval_matthews_correlation,0.11382192951310593,0.813458,10.0167,299.631616,299.631616,1098.907648,1098.907648,2561.033,20.067,868103755923456.0,8,16,0.05,"[8, 4, 2, 1]",bert,results/kd-lora/task_cola_bert_42/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
