variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
fft,qnli,roberta,42,lora,lora,0,eval_accuracy,0.9271462566355483,124.64717,953.4198,2028.750336,2028.750336,9403.629568,9403.629568,329.581,5.151,8.269685939031245e+16,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_qnli_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,bert,123,lora,lora,0,eval_accuracy,0.9093494929507792,109.483778,3143.41,1789.050368,1789.050368,9240.051712,9240.051712,347.246,5.427,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_qqp_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,bert,2024,lora,lora,0,eval_accuracy,0.9110561464259214,109.483778,6099.4466,1786.428928,1786.428928,9248.44032,9248.44032,178.957,2.797,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_qqp_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,bert,42,lora,lora,0,eval_accuracy,0.90972050457581,109.483778,3481.241,1783.927296,1783.927296,9248.44032,9248.44032,313.549,4.9,2.872414942915461e+17,8,16,0.05,,bert,results/fft/task_qqp_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,deberta,123,lora,lora,0,eval_accuracy,0.9230274548602523,184.423682,7529.218,3035.90144,3035.90144,7732.199424000001,7732.199424,144.974,2.266,7.181166206307533e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qqp_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,deberta,2024,lora,lora,0,eval_accuracy,0.9227059114518922,184.423682,7532.0173,3036.687872,3036.687872,8126.464,8126.464,144.92,2.265,7.181166206307533e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qqp_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,deberta,42,lora,lora,0,eval_accuracy,0.9210981944100916,184.423682,7444.0945,3036.687872,3036.687872,8126.464,8126.464,146.631,2.291,7.181166206307533e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_qqp_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,roberta,123,lora,lora,0,eval_accuracy,0.9051941627504329,124.64717,3047.4311,2028.75648,2028.75648,9489.6128,9489.6128,358.183,5.598,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_qqp_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,roberta,2024,lora,lora,0,eval_accuracy,0.9069502844422459,124.64717,6319.957,2031.035904,2031.035904,9409.921024,9409.921024,172.713,2.699,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_qqp_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,qqp,roberta,42,lora,lora,0,eval_accuracy,0.9061835270838486,124.64717,3284.9517,2030.0610559999998,2030.061056,9403.629568,9403.629568,332.284,5.193,2.872414942915461e+17,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_qqp_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,bert,123,lora,lora,0,eval_accuracy,0.6498194945848376,109.483778,27.8744,1787.65568,1787.65568,9250.537472,9250.537472,267.988,4.197,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_rte_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,bert,2024,lora,lora,0,eval_accuracy,0.631768953068592,109.483778,52.0569,1793.345536,1793.345536,9240.051712,9240.051712,143.497,2.248,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_rte_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,bert,42,lora,lora,0,eval_accuracy,0.5812274368231047,109.483778,31.3745,1797.636096,1797.636096,9269.41184,9269.41184,238.091,3.729,1970175586861056.0,8,16,0.05,,bert,results/fft/task_rte_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,deberta,123,lora,lora,0,eval_accuracy,0.7870036101083032,184.423682,65.7238,3026.4642560000007,3026.464256,7728.005119999999,7728.00512,113.657,1.78,492552704753664.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_rte_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,deberta,2024,lora,lora,0,eval_accuracy,0.8050541516245487,184.423682,64.5574,3021.878272,3021.878272,8499.757056,8499.757056,115.711,1.812,492552704753664.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_rte_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,deberta,42,lora,lora,0,eval_accuracy,0.8014440433212996,184.423682,65.6903,3028.481536,3028.481536,8109.686784,8109.686784,113.715,1.781,492552704753664.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_rte_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,roberta,123,lora,lora,0,eval_accuracy,0.7148014440433214,124.64717,28.4173,2031.196672,2031.196672,9464.446976,9464.446976,262.868,4.117,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_rte_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,roberta,2024,lora,lora,0,eval_accuracy,0.6895306859205776,124.64717,55.0412,2029.456896,2029.456896,9489.6128,9489.6128,135.717,2.126,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_rte_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,rte,roberta,42,lora,lora,0,eval_accuracy,0.6245487364620939,124.64717,31.8942,2037.121024,2037.121024,9424.601088,9424.601088,234.212,3.668,1970175586861056.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_rte_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,bert,123,lora,lora,0,eval_accuracy,0.9162844036697247,109.483778,1118.4653,1786.941952,1786.941952,9246.343168,9246.343168,180.647,2.824,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_sst2_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,bert,2024,lora,lora,0,eval_accuracy,0.9254587155963303,109.483778,677.4319,1809.537024,1809.537024,3961.520128,3961.520128,298.254,4.663,1.3298685211312128e+16,8,16,0.05,"[8, 4, 2, 1]",bert,results/fft/task_sst2_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,bert,42,lora,lora,0,eval_accuracy,0.9174311926605505,109.483778,571.0864,1787.739648,1787.739648,9248.44032,9248.44032,353.794,5.532,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_sst2_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,deberta,123,lora,lora,0,eval_accuracy,0.9587155963302753,184.423682,1391.1022,3035.90144,3035.90144,7732.199424000001,7732.199424,145.242,2.271,1.3298923581997056e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_sst2_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,deberta,2024,lora,lora,0,eval_accuracy,0.9541284403669725,184.423682,1391.3589,3022.007808,3022.007808,8134.852608,8134.852608,145.216,2.27,1.3298923581997056e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_sst2_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,deberta,42,lora,lora,0,eval_accuracy,0.9575688073394495,184.423682,1390.7094,3037.474304,3037.474304,8126.464,8126.464,145.283,2.272,1.3298923581997056e+16,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_sst2_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,roberta,123,lora,lora,0,eval_accuracy,0.948394495412844,124.64717,1150.3943,2030.0672000000002,2030.0672,9502.195712,9502.195712,175.633,2.746,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_sst2_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,roberta,2024,lora,lora,0,eval_accuracy,0.9243119266055045,124.64717,713.611,2041.13664,2041.13664,4422.893568,4422.893568,283.133,4.427,1.3298685211312128e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/fft/task_sst2_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,sst2,roberta,42,lora,lora,0,eval_accuracy,0.9254587155963303,124.64717,559.8784,2024.247808,2024.247808,9403.629568,9403.629568,360.877,5.642,5.319474084524851e+16,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_sst2_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,bert,123,lora,lora,0,eval_pearson,0.8843396195124856,109.483009,59.9594,1793.332224,1793.332224,9233.760256,9233.760256,287.644,4.503,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_stsb_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,bert,2024,lora,lora,0,eval_pearson,0.8794821446902962,109.483009,105.3725,1799.69024,1799.69024,9229.565952,9229.565952,163.677,2.562,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_stsb_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,bert,42,lora,lora,0,eval_pearson,0.882600232339511,109.483009,70.0486,1793.9425280000003,1793.942528,9254.731776,9254.731776,246.215,3.854,4546518161817600.0,8,16,0.05,,bert,results/fft/task_stsb_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,deberta,123,lora,lora,0,eval_pearson,0.9023640739894111,184.422913,117.7908,3033.114624,3033.114624,8126.464,8126.464,146.421,2.292,1136649975103488.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_stsb_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,deberta,2024,lora,lora,0,eval_pearson,0.8951732218665092,184.422913,131.7243,3029.706752,3029.706752,7669.284864,7669.284864,130.933,2.05,1136649975103488.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_stsb_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,deberta,42,lora,lora,0,eval_pearson,0.9131411083656712,184.422913,126.1481,3023.334912,3023.334912,7736.393728,7736.393728,136.72,2.14,1136649975103488.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_stsb_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,roberta,123,lora,lora,0,eval_pearson,0.9032834762884672,124.646401,58.1024,2037.62176,2037.62176,9470.738432,9470.738432,296.838,4.647,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_stsb_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,roberta,2024,lora,lora,0,eval_pearson,0.896603608706867,124.646401,107.4847,2037.177344,2037.177344,9472.835584,9472.835584,160.46,2.512,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_stsb_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,stsb,roberta,42,lora,lora,0,eval_pearson,0.9055665390359801,124.646401,66.6037,2035.895808,2035.895808,9495.904256,9495.904256,258.95,4.054,4546518161817600.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_stsb_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,bert,123,lora,lora,0,eval_accuracy,0.4225352112676056,109.483778,11.6665,1794.37312,1794.37312,9233.760256,9233.760256,163.288,2.571,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_wnli_bert_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,bert,2024,lora,lora,0,eval_accuracy,0.5633802816901409,109.483778,17.0218,1793.677312,1793.677312,9237.95456,9237.95456,111.915,1.762,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",bert,results/fft/task_wnli_bert_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,bert,42,lora,lora,0,eval_accuracy,0.4647887323943662,109.483778,18.4573,1787.07968,1787.07968,9313.452032,9313.452032,103.211,1.625,505173214494720.0,8,16,0.05,,bert,results/fft/task_wnli_bert_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,deberta,123,lora,lora,0,eval_accuracy,0.5352112676056338,184.423682,26.412,3026.12224,3026.12224,8113.881087999999,8113.881088,72.126,1.136,126295568547840.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_wnli_deberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,deberta,2024,lora,lora,0,eval_accuracy,0.5633802816901409,184.423682,24.8491,3021.997056,3021.997056,8508.145664,8508.145664,76.663,1.207,126295568547840.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_wnli_deberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,deberta,42,lora,lora,0,eval_accuracy,0.5633802816901409,184.423682,29.075,3020.747776,3020.747776,8130.658304,8130.658304,65.52,1.032,126295568547840.0,8,16,0.05,"[8, 4, 2, 1]",deberta,results/fft/task_wnli_deberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,roberta,123,lora,lora,0,eval_accuracy,0.4084507042253521,124.64717,13.5217,2043.07456,2043.07456,9502.195712,9502.195712,140.885,2.219,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_wnli_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,roberta,2024,lora,lora,0,eval_accuracy,0.5633802816901409,124.64717,20.1703,2046.5945600000002,2046.59456,9500.09856,9500.09856,94.446,1.487,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_wnli_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
fft,wnli,roberta,42,lora,lora,0,eval_accuracy,0.5633802816901409,124.64717,17.0466,2025.735168,2025.735168,9405.72672,9405.72672,111.752,1.76,505173214494720.0,8,16,0.05,"[32, 16, 8, 4, 2]",roberta,results/fft/task_wnli_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
