variant,task,model,seed,peft,peft_type,type,metric_key,metric_value,trainable_params_count,train_time,avg_memory_allocated_mb,max_memory_allocated_mb,avg_memory_reserved_mb,max_memory_reserved_mb,train_samples_per_second,train_steps_per_second,total_flos,rank,lora_alpha,lora_dropout,lora_ranks,model_family,file
kd-lora,cola,roberta,123,mrlora,mrlora,1,eval_matthews_correlation,0.4205186520108999,0.868658,15.8241,361.063936,361.063936,1855.97952,1855.97952,1621.137,12.702,869194241409024.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_123/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,cola,roberta,123,olora,olora,1,eval_matthews_correlation,0.3615635910504332,0.739586,9.516,358.14912,358.14912,1184.89088,1184.89088,2695.788,21.122,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_123/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,cola,roberta,123,rslora,rslora,1,eval_matthews_correlation,0.42389982945522137,0.739586,9.7129,359.13215999999994,359.13216,1189.085184,1189.085184,2641.114,20.694,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_123/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,cola,roberta,2024,adalora,adalora,1,eval_matthews_correlation,0.0,0.813458,10.5528,360.14079999999996,360.1408,1191.182336,1191.182336,2430.912,19.047,868103755923456.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_2024/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,cola,roberta,2024,dora,dora,1,eval_matthews_correlation,0.4373192805786603,0.748802,11.9358,359.083008,359.083008,1342.17728,1342.17728,2149.241,16.84,866825936044032.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_2024/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,cola,roberta,2024,lora,lora,1,eval_matthews_correlation,0.4402056101061122,0.739586,9.842,358.345728,358.345728,1182.793728,1182.793728,2606.49,20.423,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_2024/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,roberta,2024,mrlora,mrlora,1,eval_matthews_correlation,0.47204790240239586,0.868658,16.4986,361.063936,361.063936,1855.97952,1855.97952,1554.857,12.183,869194241409024.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_2024/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,cola,roberta,2024,olora,olora,1,eval_matthews_correlation,0.3571312569272602,0.739586,9.9066,359.13215999999994,359.13216,1189.085184,1189.085184,2589.484,20.289,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_2024/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,cola,roberta,2024,rslora,rslora,1,eval_matthews_correlation,0.3880516330500076,0.739586,9.8957,358.935552,358.935552,1189.085184,1189.085184,2592.34,20.312,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_2024/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,cola,roberta,42,adalora,adalora,1,eval_matthews_correlation,0.0,0.813458,10.1831,359.550976,359.550976,1191.182336,1191.182336,2519.17,19.739,868103755923456.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_42/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,cola,roberta,42,dora,dora,1,eval_matthews_correlation,0.4329619258860067,0.748802,11.4556,359.177216,359.177216,1342.17728,1342.17728,2239.35,17.546,866825936044032.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_42/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,cola,roberta,42,lora,lora,1,eval_matthews_correlation,0.4329619258860067,0.739586,9.5965,357.5592960000001,357.559296,1189.085184,1189.085184,2673.175,20.945,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_42/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
kd-lora,cola,roberta,42,mrlora,mrlora,1,eval_matthews_correlation,0.4746858840589354,0.868658,15.6395,361.063936,361.063936,1855.97952,1855.97952,1640.265,12.852,869194241409024.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_42/base_32_5e-05_0.01/peft_mrlora_16_0.05_8/metrics.json
kd-lora,cola,roberta,42,olora,olora,1,eval_matthews_correlation,0.3609547553720499,0.739586,9.4325,358.14912,358.14912,1184.89088,1184.89088,2719.65,21.309,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_42/base_32_5e-05_0.01/peft_olora_16_0.05_8/metrics.json
kd-lora,cola,roberta,42,rslora,rslora,1,eval_matthews_correlation,0.427030940599897,0.739586,9.7816,359.13215999999994,359.13216,1189.085184,1189.085184,2622.576,20.549,866643836141568.0,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_cola_roberta_42/base_32_5e-05_0.01/peft_rslora_16_0.05_8/metrics.json
kd-lora,mnli,roberta,123,adalora,adalora,1,matched_accuracy,0.7788079470198676,0.814227,511.0242,359.56633600000004,359.566336,1182.793728,1182.793728,2305.382,18.011,3.975276988779725e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_mnli_roberta_123/base_32_5e-05_0.01/peft_adalora_16_0.05_8/metrics.json
kd-lora,mnli,roberta,123,dora,dora,1,matched_accuracy,0.7971472236372898,0.749571,543.7226,358.508544,358.508544,1337.982976,1337.982976,2166.741,16.928,3.969425954832384e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_mnli_roberta_123/base_32_5e-05_0.01/peft_dora_16_0.05_8/metrics.json
kd-lora,mnli,roberta,123,lora,lora,1,matched_accuracy,0.798064187468161,0.740355,456.4988,357.574656,357.574656,1172.307968,1172.307968,2580.743,20.162,3.968591979557683e+16,8,16,0.05,"[8, 4, 2, 1]",roberta,results/kd-lora/task_mnli_roberta_123/base_32_5e-05_0.01/peft_lora_16_0.05_8/metrics.json
