training_variant,model_family,task,method,metric_name,mean_value
kd-lora,roberta,sst2,olora,eval_accuracy,90.75688073394495
kd-lora,roberta,sst2,rslora,eval_accuracy,91.58256880733946
kd-lora,roberta,sst2,lora,eval_accuracy,91.19266055045871
kd-lora,roberta,sst2,mrlora,eval_accuracy,91.85779816513761
kd-lora,roberta,sst2,dora,eval_accuracy,91.10091743119267
kd-lora,roberta,sst2,mrlora-rs,eval_accuracy,91.60550458715596
kd-lora,roberta,stsb,adalora,eval_pearson,33.964885699576506
kd-lora,roberta,stsb,adalora,eval_spearman,30.435394975724794
kd-lora,roberta,stsb,olora,eval_pearson,82.31305095210372
kd-lora,roberta,stsb,olora,eval_spearman,81.93898833707208
kd-lora,roberta,stsb,rslora,eval_pearson,81.51611638459933
kd-lora,roberta,stsb,rslora,eval_spearman,80.96138098206585
kd-lora,roberta,stsb,lora,eval_pearson,71.96377683355668
kd-lora,roberta,stsb,lora,eval_spearman,71.06886130827289
kd-lora,roberta,stsb,mrlora,eval_pearson,83.86252648935161
kd-lora,roberta,stsb,mrlora,eval_spearman,83.46078690485118
kd-lora,roberta,stsb,dora,eval_pearson,71.8758290127088
kd-lora,roberta,stsb,dora,eval_spearman,70.97949450350487
kd-lora,roberta,stsb,mrlora-rs,eval_pearson,85.55936323177565
kd-lora,roberta,stsb,mrlora-rs,eval_spearman,85.2766104098498
kd-lora,roberta,qqp,adalora,eval_accuracy,84.7464753895622
kd-lora,roberta,qqp,adalora,eval_f1,80.11517511838807
kd-lora,deberta,cola,adalora,eval_matthews_correlation,11.382192951310593
kd-lora,roberta,wnli,adalora,eval_accuracy,56.33802816901409
kd-lora,roberta,rte,adalora,eval_accuracy,56.317689530685925
kd-lora,bert,qqp,adalora,eval_accuracy,84.7872866683156
kd-lora,bert,qqp,adalora,eval_f1,79.43345770489198
kd-lora,bert,qqp,olora,eval_accuracy,85.95679775744084
kd-lora,bert,qqp,olora,eval_f1,80.61022179454733
kd-lora,bert,qqp,rslora,eval_accuracy,86.24000329788112
kd-lora,bert,qqp,rslora,eval_f1,80.93216180789187
kd-lora,bert,qqp,lora,eval_accuracy,85.88589331354606
kd-lora,bert,qqp,lora,eval_f1,80.45410856878377
kd-lora,bert,qqp,mrlora,eval_accuracy,87.61810536730151
kd-lora,bert,qqp,mrlora,eval_f1,83.2431277885916
kd-lora,bert,qqp,dora,eval_accuracy,85.91310083271497
kd-lora,bert,qqp,dora,eval_f1,80.5007902217132
kd-lora,bert,qqp,mrlora-rs,eval_accuracy,88.34199027125072
kd-lora,bert,qqp,mrlora-rs,eval_f1,84.23096020691848
